group_id,num_nodes,num_edges,num_closed_edges,in_degrees,max_in_degree,mean_in_degree,nodes_indegree_gt_one,closed_edge_density,instance,algorithm,num_jumps,num_explored_nodes,primal_bound,dual_bound,cuts_added_by_solver,solve_time,sum_time,status
n10,13,20,42,"0, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 6",6,1.5384615384615385,3,0.5384615384615384,n10o0.2-1.rcp,FEASIBILITY,5.0,0,6.0,6.0,0.0,0.78826,0.78826,2
n10,13,20,42,"0, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 6",6,1.5384615384615385,3,0.5384615384615384,n10o0.2-1.rcp,MULTIFLOW,5.0,1,8.0,8.0,0.0,0.195699,0.0,2
n10,13,20,42,"0, 1, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 5",5,1.5384615384615385,3,0.5384615384615384,n10o0.2-2.rcp,FEASIBILITY,5.0,0,6.0,6.0,0.0,0.78778,1.429612,2
n10,13,20,42,"0, 1, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 5",5,1.5384615384615385,3,0.5384615384615384,n10o0.2-2.rcp,MULTIFLOW,5.0,1,8.0,8.0,0.0,0.101355,0.0,2
n10,13,20,42,"0, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 6",6,1.5384615384615385,4,0.5384615384615384,n10o0.2-3.rcp,FEASIBILITY,5.0,1,6.0,6.0,0.0,0.952894,0.952894,2
n10,13,20,42,"0, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 6",6,1.5384615384615385,4,0.5384615384615384,n10o0.2-3.rcp,MULTIFLOW,5.0,1,8.0,8.0,0.0,0.177625,0.0,2
n10,13,19,42,"0, 1, 1, 1, 1, 2, 1, 1, 4, 1, 1, 1, 4",4,1.4615384615384615,3,0.5384615384615384,n10o0.2-4.rcp,FEASIBILITY,6.0,1,7.0,7.0,0.0,1.680628,5.986883,2
n10,13,19,42,"0, 1, 1, 1, 1, 2, 1, 1, 4, 1, 1, 1, 4",4,1.4615384615384615,3,0.5384615384615384,n10o0.2-4.rcp,MULTIFLOW,6.0,1,7.0,7.0,0.0,0.074582,0.0,2
n10,13,18,42,"0, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 4",4,1.3846153846153846,3,0.5384615384615384,n10o0.2-5.rcp,FEASIBILITY,6.0,1,7.0,7.0,0.0,1.334428,6.246811,2
n10,13,18,42,"0, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 4",4,1.3846153846153846,3,0.5384615384615384,n10o0.2-5.rcp,MULTIFLOW,6.0,1,7.0,7.0,0.0,0.083081,0.0,2
