Predecessor, Successor
1,3
1,4
2,9
3,9
6,12
9,12
1,14
6,14
10,14
14,15
12,16
13,16
2,17
4,17
7,17
13,17
15,17
15,18
4,19
14,19
13,21
15,21
4,22
12,25
23,26
25,26
15,27
19,27
22,27
11,28
16,28
19,28
22,28
23,28
5,29
13,29
25,30
10,31
13,31
30,32
31,32
12,33
13,33
17,34
21,34
25,34
31,34
25,35
5,36
17,36
20,36
28,36
33,36
19,37
21,37
4,38
5,38
8,38
18,39
26,39
28,39
31,39
38,39
34,40
36,40
39,40
27,41
35,41
40,41
18,42
19,42
24,42
25,42
33,42
24,43
41,43
22,44
34,44
26,45
32,45
35,45
36,45
44,45
20,46
32,46
34,46
38,46
41,47
45,47
