Predecessor, Successor
5,8
3,11
2,12
6,12
7,12
11,12
5,14
10,14
1,15
3,15
5,15
2,16
5,16
4,17
16,18
11,20
7,21
19,21
3,22
6,23
13,23
4,24
5,24
10,24
11,24
23,24
3,25
8,25
10,25
21,26
25,26
15,27
23,27
18,28
21,28
1,29
1,30
13,30
16,30
26,30
14,32
20,32
24,32
9,33
27,33
30,33
18,34
22,34
24,34
33,34
32,35
17,36
32,36
11,37
14,37
26,37
27,37
29,37
3,38
4,38
16,38
20,39
22,39
31,39
30,40
31,41
35,41
36,41
31,42
33,42
35,42
37,42
12,43
18,43
21,43
22,43
9,44
16,44
41,44
28,45
38,45
38,46
40,46
44,46
36,47
39,47
40,47
28,48
36,48
40,48
12,49
27,49
44,49
46,50
46,51
47,52
50,52
38,53
39,53
40,53
41,53
42,54
51,54
48,55
