Predecessor, Successor
5,34
23,34
18,35
26,36
17,38
6,39
23,39
4,41
7,41
8,41
10,41
35,41
11,42
12,42
5,46
7,46
14,46
18,46
21,46
40,46
2,47
24,47
26,54
20,58
21,58
27,58
45,58
7,59
37,59
25,60
30,60
57,60
9,61
15,61
23,61
56,61
11,62
28,63
49,63
24,64
50,65
5,66
26,66
43,66
7,68
48,69
52,69
27,70
32,70
9,72
13,72
44,72
55,72
57,72
33,73
2,74
48,74
39,75
45,75
50,75
53,75
77,78
5,79
31,79
78,80
78,81
10,82
71,82
80,82
80,83
81,83
83,84
84,85
83,86
85,87
86,88
87,88
88,89
89,90
89,91
91,92
92,93
90,94
93,94
76,95
94,95
95,96
95,97
95,98
96,99
97,99
98,99
99,100
100,101
100,102
102,103
101,104
103,104
104,105
105,106
105,107
106,108
107,109
108,109
109,110
110,111
111,112
110,113
112,114
113,115
114,115
113,116
114,116
115,117
116,118
117,118
118,119
119,120
120,121
121,122
122,123
123,124
121,125
124,126
125,126
126,127
124,128
128,129
127,130
129,131
130,131
127,132
129,132
131,133
132,133
133,134
1,135
7,135
25,135
37,135
44,135
134,135
29,136
134,136
16,137
47,137
67,137
131,137
3,138
6,138
8,138
11,138
14,138
19,138
22,138
34,138
35,138
38,138
51,138
54,138
61,138
64,138
70,138
74,138
136,138
137,138
