instance,algorithm,num_jumps,num_explored_nodes,primal_bound,dual_bound,cuts_added_by_solver,status,mean_in_degree,nodes_indegree_gt_one,closed_edge_density,num_edges,num_closed_edges,group_id,algorithm_right,max_in_degree,num_nodes,instance_type,runtime
n10o0.7-8.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,2,1.3846153846153846,5,0.8205128205128205,18,64,n10,FEASIBILITY,3,13,generated,0.128368
n10os0.9-10.rcp,FEASIBILITY,2.0,0,3.0,3.0,0.0,2,1.1538461538461537,3,0.9358974358974359,15,73,n10,FEASIBILITY,2,13,generated,0.05063
n50os0.95-2.rcp,FEASIBILITY,17.0,1,18.0,18.0,0.0,2,1.7358490566037736,32,0.9550072568940493,92,1316,n50,FEASIBILITY,3,53,generated,6976.115142
n10os0.9-6.rcp,SMART_HEURISTIC,2.0,0,0.0,0.0,0.0,,1.1538461538461537,3,0.9358974358974359,15,73,n10,FEASIBILITY,2,13,generated,0.002206
n70os0.95-2.rcp,SMART_HEURISTIC,27.0,0,0.0,0.0,0.0,,1.8767123287671232,44,0.9539573820395738,137,2507,n70,FEASIBILITY,3,73,generated,0.251627
n50os0.2-6.rcp,SMART_HEURISTIC,33.0,0,0.0,0.0,0.0,,3.9622641509433962,32,0.2888243831640058,210,398,n50,FEASIBILITY,21,53,generated,0.224866
n20o0.9-1.rcp,SMART_HEURISTIC,7.0,0,0.0,0.0,0.0,,1.5217391304347827,11,0.924901185770751,35,234,n20,FEASIBILITY,3,23,generated,0.009107
n30s0.7-10.rcp,FEASIBILITY,12.0,9547,13.0,13.0,0.0,2,2.4545454545454546,23,0.7518939393939394,81,397,n30,FEASIBILITY,6,33,generated,5973.231862
rbg253a.sop.ajn.txt,SMART_HEURISTIC,167.0,0,0.0,0.0,0.0,,6.783464566929134,245,0.947184961563599,1723,30434,sop,FEASIBILITY,17,254,sop,90.038228
n30os0.9-1.rcp,SMART_HEURISTIC,10.0,0,0.0,0.0,0.0,,1.696969696969697,18,0.9166666666666666,56,484,n30,FEASIBILITY,4,33,generated,0.023
n10o0.7-1.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,2,1.3076923076923077,3,0.8205128205128205,17,64,n10,FEASIBILITY,4,13,generated,0.09498
ft70.1.sop.ajn.txt,SMART_HEURISTIC,3.0,0,0.0,0.0,0.0,,1.0285714285714285,3,0.03561076604554866,72,86,sop,FEASIBILITY,2,70,sop,0.007763
n30os0.9-8.rcp,SMART_HEURISTIC,13.0,0,0.0,0.0,0.0,,1.7575757575757576,20,0.9166666666666666,58,484,n30,FEASIBILITY,3,33,generated,0.029667
n10os0.9-7.rcp,SMART_HEURISTIC,3.0,0,0.0,0.0,0.0,,1.2307692307692308,4,0.9358974358974359,16,73,n10,FEASIBILITY,2,13,generated,0.002526
n60os0.5-6.rcp,SMART_HEURISTIC,31.0,0,0.0,0.0,0.0,,4.809523809523809,43,0.5468509984639017,303,1068,n60,FEASIBILITY,13,63,generated,0.223303
n10o0.7-5.rcp,SMART_HEURISTIC,3.0,0,0.0,0.0,0.0,,1.6153846153846154,6,0.8205128205128205,21,64,n10,FEASIBILITY,3,13,generated,0.002703
n30s0.2-9.rcp,SMART_HEURISTIC,18.0,0,0.0,0.0,0.0,,2.696969696969697,15,0.3409090909090909,89,180,n30,FEASIBILITY,10,33,generated,0.046694
n10o0.95-8.rcp,FEASIBILITY,2.0,0,3.0,3.0,0.0,2,1.0769230769230769,2,0.9615384615384616,14,75,n10,FEASIBILITY,2,13,generated,0.049145
n30os0.9-2.rcp,SMART_HEURISTIC,11.0,0,0.0,0.0,0.0,,1.696969696969697,16,0.9166666666666666,56,484,n30,FEASIBILITY,3,33,generated,0.024605
n70os0.8-4.rcp,SMART_HEURISTIC,34.0,0,0.0,0.0,0.0,,3.835616438356164,60,0.8162100456621004,280,2145,n70,FEASIBILITY,8,73,generated,0.447804
n10o0.7-3.rcp,FEASIBILITY,3.0,0,4.0,4.0,0.0,2,1.4615384615384615,6,0.8205128205128205,19,64,n10,FEASIBILITY,3,13,generated,0.141417
n20o0.7-9.rcp,SMART_HEURISTIC,11.0,0,0.0,0.0,0.0,,2.6956521739130435,16,0.7747035573122529,62,196,n20,FEASIBILITY,5,23,generated,0.015372
n70os0.7-4.rcp,SMART_HEURISTIC,37.0,0,0.0,0.0,0.0,,4.232876712328767,59,0.724124809741248,309,1903,n70,FEASIBILITY,11,73,generated,0.461543
