instance,algorithm,num_jumps,num_explored_nodes,primal_bound,dual_bound,cuts_added_by_solver,solve_time,sum_time,status
br17.10.sop.ajn.txt,FEASIBILITY,1.0,0.0,2.0,2.0,0.0,0.044413,0.044413,2.0
br17.10.sop.ajn.txt,MULTIFLOW,1.0,1.0,16.0,16.0,0.0,0.231351,0.0,2.0
br17.12.sop.ajn.txt,FEASIBILITY,2.0,0.0,3.0,3.0,0.0,0.205052,0.24029,2.0
br17.12.sop.ajn.txt,MULTIFLOW,2.0,1.0,15.0,15.0,0.0,0.25927,0.0,2.0
esc07.sop.ajn.txt,FEASIBILITY,2.0,0.0,3.0,3.0,0.0,0.039843,0.039843,2.0
esc07.sop.ajn.txt,MULTIFLOW,2.0,1.0,6.0,6.0,0.0,0.038919,0.0,2.0
esc11.sop.ajn.txt,FEASIBILITY,0.0,0.0,1.0,1.0,0.0,0.012808,0.012808,2.0
esc11.sop.ajn.txt,MULTIFLOW,0.0,0.0,12.0,12.0,0.0,0.060455,0.0,2.0
esc12.sop.ajn.txt,FEASIBILITY,5.0,1.0,6.0,6.0,0.0,2.01203,6.247173,2.0
esc12.sop.ajn.txt,MULTIFLOW,5.0,1.0,8.0,8.0,0.0,0.112339,0.0,2.0
esc25.sop.ajn.txt,FEASIBILITY,1.0,0.0,2.0,2.0,0.0,0.059287,0.059287,2.0
esc25.sop.ajn.txt,MULTIFLOW,1.0,1.0,25.0,25.0,0.0,0.891184,0.0,2.0
esc47.sop.ajn.txt,FEASIBILITY,1.0,0.0,2.0,2.0,0.0,0.188802,0.188802,2.0
esc47.sop.ajn.txt,MULTIFLOW,1.0,1.0,47.0,47.0,0.0,7.112816,0.0,2.0
esc63.sop.ajn.txt,FEASIBILITY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
esc63.sop.ajn.txt,MULTIFLOW,35.0,2.0,29.0,31.0,0.0,18001.887824,0.0,9.0
esc78.sop.ajn.txt,FEASIBILITY,0.0,0.0,1.0,1.0,0.0,0.028661,0.028661,2.0
esc78.sop.ajn.txt,MULTIFLOW,0.0,1.0,79.0,79.0,0.0,18.633628,0.0,2.0
ft53.1.sop.ajn.txt,FEASIBILITY,2.0,1.0,3.0,3.0,0.0,3.656754,3.764714,2.0
ft53.1.sop.ajn.txt,MULTIFLOW,2.0,1.0,51.0,51.0,0.0,5.478083,0.0,2.0
ft53.2.sop.ajn.txt,FEASIBILITY,5.0,1.0,6.0,6.0,0.0,63.721983,186.799954,2.0
ft53.2.sop.ajn.txt,MULTIFLOW,5.0,1.0,48.0,48.0,0.0,24.665078,0.0,2.0
ft53.3.sop.ajn.txt,FEASIBILITY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ft53.3.sop.ajn.txt,MULTIFLOW,12.0,10362.0,41.0,43.0,0.0,18000.783345,0.0,9.0
ft53.4.sop.ajn.txt,FEASIBILITY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ft53.4.sop.ajn.txt,MULTIFLOW,11.0,1.0,42.0,42.0,0.0,347.265667,0.0,2.0
ft70.1.sop.ajn.txt,FEASIBILITY,3.0,1.0,4.0,4.0,0.0,21.37703,28.963603,2.0
ft70.1.sop.ajn.txt,MULTIFLOW,3.0,1.0,67.0,67.0,0.0,25.14431,0.0,2.0
ft70.2.sop.ajn.txt,FEASIBILITY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ft70.2.sop.ajn.txt,MULTIFLOW,10.0,10141.0,60.0,60.0,0.0,669.212362,0.0,2.0
kro124p.1.sop.ajn.txt,FEASIBILITY,3.0,1.0,4.0,4.0,0.0,84.036314,87.806424,2.0
kro124p.1.sop.ajn.txt,MULTIFLOW,3.0,1.0,97.0,97.0,0.0,58.468249,0.0,2.0
kro124p.2.sop.ajn.txt,FEASIBILITY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
kro124p.2.sop.ajn.txt,MULTIFLOW,12.0,130.0,88.0,91.0,0.0,18006.46834,0.0,9.0
p43.1.sop.ajn.txt,FEASIBILITY,3.0,1.0,4.0,4.0,0.0,7.988044,8.913684,2.0
p43.1.sop.ajn.txt,MULTIFLOW,3.0,1.0,40.0,40.0,0.0,3.76372,0.0,2.0
p43.2.sop.ajn.txt,FEASIBILITY,3.0,1.0,4.0,4.0,0.0,9.743146,11.742117,2.0
p43.2.sop.ajn.txt,MULTIFLOW,3.0,1.0,40.0,40.0,0.0,6.44253,0.0,2.0
